_RAJ2000,_DEJ2000,Per,plx,Vmag,Imag
deg,deg,d,mas,mag,mag
-----------,-----------,------,------,------,------
916.456.086,+26.3292228,11.302,311,9.735,
1.052.492.503,-87.089.917,8.014,383,10.100,8.708
1.007.812.989,+20.9391108,3.788,370,,
1.170.160.469,-255.777.844,13.596,254,9.898,8.716
1.442.144.433,-530.327.967,7.134,369,10.257,8.730
1.903.584.572,-597.941.783,3.837,758,8.228,7.346
1.194.403.022,-401.233.561,5.084,924,7.385,6.463
2.732.603.992,-231.172.781,5.058,1.217,6.967,6.053
1.553.457.300,-610.740.936,9.769,361,8.892,7.895
1.195.920.364,-291.300.942,30.149,294,8.690,7.153
649.452.431,+48.9532717,4.973,650,,
1.230.933.461,-369.437.592,6.665,604,7.985,7.080
2.712.032.758,-227.323.997,15.415,404,11.331,8.851
719.429.789,+36.7227872,6.464,1.093,7.473,
2.231.469.114,-638.098.214,,,5.887,4.987
247.499.467,+64.9892403,2.872,414,11.543,
1.712.739.797,-607.346.211,5.310,574,8.818,7.701
2.758.297.911,-185.747.744,6.570,546,10.559,8.729
2.814.754.300,+12.3361417,7.508,280,10.093,8.941
2.827.494.708,-202.952.306,6.637,1.188,6.952,5.848
